Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Aaron Judge","NYY",149,645,545,155,87,25,1,43,104,106,88,9,167,6,4,1,11,10,4,0.283684,0.137149,0.25886,0.52982,0.386623,0.566022,0.403423,0.952644,0.282338,3.63662,0.329748,0.457144,-0.207871,121.701,47.9799,165.328,0.249273,2.6098,48.413533836603165,-3.7853341102600098,6.90257,3.299999952316284,2.93125,-0.559173,1.14423,"15640"
"Juan Soto","SDP",152,665,522,147,88,27,2,30,106,89,134,8,96,4,3,1,11,9,4,0.281434,0.201562,0.145008,1.39,0.429295,0.514136,0.407175,0.943431,0.232702,3.89796,0.292886,-0.234622,-0.559043,127.428,51.4378,167.934,-0.793665,-0.370217,50.834111630916595,-8.523981750011444,6.72743,10.350000381469727,3.11566,-0.40554,0.822719,"20123"
"Mike Trout","LAA",139,603,511,136,67,27,3,40,97,94,79,7,163,9,3,1,4,3,1,0.266179,0.131317,0.270071,0.48623,0.372003,0.561853,0.395316,0.933856,0.295674,4.0964,0.309325,0.258314,-0.282773,109.975,41.0041,160.196,-0.0244587,-4.98183,40.83409997448325,-3.382851719856262,5.94936,19.799999237060547,2.16101,-0.971887,1.38628,"10155"
"José Ramírez","CLE",151,651,570,156,85,36,4,30,96,103,69,10,85,6,6,0,5,23,7,0.272867,0.10541,0.131065,0.804263,0.354032,0.50864,0.366189,0.862672,0.235773,5.57651,0.272019,1.40695,1.3454,103.61,29.1851,141.308,2.75235,1.58469,33.0074577331543,2.3109299540519714,5.88491,3.609999895095825,3.48464,0.127587,0.539221,"13510"
"Julio Rodríguez","SEA",146,634,569,158,96,30,3,29,93,82,52,4,153,9,3,2,6,28,8,0.277589,0.0821606,0.241772,0.339826,0.34596,0.494357,0.361434,0.840318,0.216768,6.18303,0.33105,-0.0705764,1.78195,98.5916,26.0503,142.91,1.71137,1.14787,32.344080686569214,3.4011447429656982,5.87465,4.039999961853027,2.37396,-2.38936,0.717157,"23697"
"Mookie Betts","LAD",145,642,561,153,85,34,3,30,108,84,66,1,104,8,5,2,6,14,4,0.27179,0.103504,0.162493,0.636974,0.354415,0.505153,0.370137,0.859568,0.233364,5.50375,0.283718,1.41263,0.368433,104.212,30.8014,142.204,1.78106,6.65265,32.76605474948883,0.9137697219848633,5.74372,10.84000015258789,1.47471,0.186429,0.723056,"13611"
"Yordan Alvarez","HOU",138,586,505,147,79,30,2,36,92,101,70,6,123,6,4,0,13,1,1,0.290581,0.119753,0.209366,0.571979,0.381267,0.571784,0.403534,0.95305,0.281202,2.84251,0.315828,0.107071,-0.592899,110.756,43.6966,168.414,-0.485828,-0.289206,44.6632696390152,-9.836935967206955,5.61785,13.59000015258789,2.33337,-1.05953,1.42958,"19556"
"Freddie Freeman","LAD",155,675,583,177,114,36,2,25,107,93,81,8,101,6,4,1,8,10,3,0.304046,0.119785,0.148863,0.804666,0.392188,0.503117,0.384789,0.895305,0.199071,4.36832,0.329568,0.462251,-0.19913,117.503,40.2681,152.382,0.263121,2.15148,40.7243447303772,-9.772711277008057,5.57226,14.15999984741211,2.74932,0.472176,1.19971,"5361"
"Trea Turner","PHI",152,665,609,178,118,34,4,22,102,81,45,1,116,5,5,2,9,30,6,0.292892,0.0675943,0.174722,0.386867,0.343803,0.471903,0.352748,0.815705,0.179011,6.5555,0.328618,1.32529,2.74263,98.7303,22.7115,127.066,4.06792,-2.40728,24.973706245422363,4.390844106674194,5.4317,2.509999990463257,3.01294,0.720134,1.13906,"16252"
"Corey Seager","TEX",142,618,547,155,94,31,2,28,85,84,59,4,98,7,5,1,10,2,0,0.282538,0.0946839,0.158578,0.597082,0.356175,0.500361,0.367768,0.856536,0.217823,3.24085,0.297129,0.164818,-0.353698,99.1543,28.4872,142.533,-0.18888,-2.05147,29.390259698033333,2.536562919616699,5.41891,56.880001068115234,2.61867,-0.387252,1.00494,"13624"
"Kyle Tucker","HOU",150,631,565,156,88,33,3,33,87,99,58,3,105,3,4,1,7,22,5,0.276374,0.091522,0.165568,0.552776,0.343863,0.519557,0.36862,0.86342,0.243183,5.41816,0.28543,0.282646,1.63534,101.694,29.521,143.765,1.91798,2.30362,33.00222051143646,-4.758857250213623,5.0762,6.110000133514404,4.2222,0.0736392,0.424014,"18345"
"Ronald Acuña Jr.","ATL",143,634,543,147,87,29,1,29,104,77,74,4,152,11,4,2,6,34,10,0.270269,0.11646,0.240042,0.485166,0.366272,0.489435,0.369788,0.855707,0.219166,5.8102,0.321672,2.15393,2.10531,102.692,30.2281,137.721,4.25924,0.845752,32.03250312805176,-5.193796277046204,5.05666,1.9600000381469727,3.92976,-0.734886,1.32357,"18401"
"Alex Bregman","HOU",150,640,543,142,86,33,1,23,88,87,82,2,83,9,6,0,12,2,1,0.262225,0.127528,0.128955,0.988932,0.364371,0.452664,0.356848,0.817035,0.190439,2.87566,0.269085,-0.471724,-0.646689,97.1903,23.9634,135.454,-1.11841,0.629005,24.431044220924377,2.5549041032791138,4.975,78.87999725341797,2.40593,-0.405927,0.951028,"17678"
"Carlos Correa","MIN",144,619,544,148,94,29,1,24,81,77,64,2,121,5,5,1,12,0,1,0.271907,0.103615,0.19593,0.528836,0.350871,0.459605,0.352097,0.810476,0.187698,2.09333,0.307835,-0.0739683,-0.827744,91.6326,20.8324,132.922,-0.901712,0.906059,22.036579608917236,5.313198685646057,4.94223,128.00999450683594,1.82783,-0.917657,0.910684,"14162"
"Manny Machado","SDP",152,653,581,159,97,30,1,30,93,100,64,7,121,3,6,0,9,10,3,0.273439,0.0972998,0.185305,0.525081,0.344557,0.486336,0.355459,0.830893,0.212897,4.13525,0.295002,-0.15554,0.0828172,98.432,23.7265,132.007,-0.0727226,-0.229349,23.840590313076973,1.5257830917835236,4.90976,14.220000267028809,3.58229,0.901522,0.708167,"11493"
